DATE,IPG2211A2N,,,ERROR,,,,,,,,0
01-01-2011,119.488,101.9940727,88.84721763,306.0374933,,,,,,,,
02-01-2011,107.3753,105.4928581,88.84721763,3.543587363,,,,,,,,
03-01-2011,99.1028,105.8693465,88.84721763,45.78615168,,,,,,,,
04-01-2011,89.3583,104.5160372,88.84721763,229.7569973,,,,,,,,
05-01-2011,90.0698,101.4844898,88.84721763,130.2951425,,,,,,,,
06-01-2011,102.8204,99.20155181,88.84721763,13.0960622,,,,,,,,
07-01-2011,114.7068,99.92532145,88.84721763,218.4921081,,,,,,,,
08-01-2011,113.5958,102.8816172,88.84721763,114.7937139,,,,,,,,
09-01-2011,99.4712,105.0244537,88.84721763,30.83862697,,,,,,,,
10-01-2011,90.3566,103.913803,88.84721763,183.7977527,,,,,,,,
11-01-2011,93.8095,101.2023624,88.84721763,54.65441426,,,,,,,,
12-01-2011,107.3312,99.72378991,88.84721763,57.87268829,,,,,,,,
01-01-2012,111.9646,101.2452719,88.84721763,114.9039943,,,,,,,,
02-01-2012,103.3679,103.3891375,88.84721763,0.000451033,,,,,,,,
03-01-2012,93.5772,103.38489,88.84721763,96.19078379,,,,,,,,
04-01-2012,87.5566,101.423352,88.84721763,192.2868118,,,,,,,,
05-01-2012,92.7603,98.65000162,88.84721763,34.68858519,,,,,,,,
06-01-2012,101.14,97.4720613,88.84721763,13.45377433,,,,,,,,
07-01-2012,113.0357,98.20564904,88.84721763,219.9304115,,,,,,,,
08-01-2012,109.8601,101.1716592,88.84721763,75.48900301,,,,,,,,
09-01-2012,96.7431,102.9093474,88.84721763,38.0226068,,,,,,,,
10-01-2012,90.3805,101.6760979,88.84721763,127.5905321,,,,,,,,
11-01-2012,94.3417,99.41697833,88.84721763,25.75845008,,,,,,,,
12-01-2012,105.2722,98.40192266,88.84721763,47.20071072,,,,,,,,
01-01-2013,115.501,99.77597813,88.84721763,247.2763129,,,,,,,,
02-01-2013,106.734,102.9209825,88.84721763,14.53910243,,,,,,,,
03-01-2013,102.9948,103.683586,88.84721763,0.474426157,,,,,,,,
04-01-2013,91.0092,103.5458288,88.84721763,157.1670617,,,,,,,,
05-01-2013,90.9634,101.038503,88.84721763,101.5077013,,,,,,,,
06-01-2013,100.6957,99.02348243,88.84721763,2.796311591,,,,,,,,
07-01-2013,110.148,99.35792595,88.84721763,116.4256981,,,,,,,,
08-01-2013,108.1756,101.5159408,88.84721763,44.35106123,,,,,,,,
09-01-2013,99.2809,102.8478726,88.84721763,12.72329357,,,,,,,,
10-01-2013,91.7871,102.1344781,88.84721763,107.0682332,,,,,,,,
11-01-2013,97.2853,100.0650025,88.84721763,7.726745809,,,,,,,,
12-01-2013,113.4732,99.50906197,88.84721763,194.9971508,,,,,,,,
01-01-2014,124.2549,102.3018896,88.84721763,481.9346665,,,,,,,,
02-01-2014,112.8811,106.6924917,88.84721763,38.29887314,,,,,,,,
03-01-2014,104.7631,107.9302133,88.84721763,10.03060685,,,,,,,,
04-01-2014,90.2867,107.2967907,88.84721763,289.3431844,,,,,,,,
05-01-2014,92.134,103.8947725,88.84721763,138.3157705,,,,,,,,
06-01-2014,101.878,101.542618,88.84721763,0.112481069,,,,,,,,
07-01-2014,108.5497,101.6096944,88.84721763,48.16367745,,,,,,,,
08-01-2014,108.194,102.9976955,88.84721763,27.00158008,,,,,,,,
09-01-2014,100.4172,104.0369564,88.84721763,13.10263661,,,,,,,,
10-01-2014,92.3837,103.3130051,88.84721763,119.4497109,,,,,,,,
11-01-2014,99.7033,101.1271441,88.84721763,2.027332063,,,,,,,,
12-01-2014,109.3477,100.8423753,88.84721763,72.34054839,,,,,,,,
01-01-2015,120.2696,102.5434402,88.84721763,314.2167401,,,,,,,,
02-01-2015,116.3788,106.0886722,88.84721763,105.8867304,,,,,,,,
03-01-2015,104.4706,108.1466977,88.84721763,13.51369466,,,,,,,,
04-01-2015,89.7461,107.4114782,88.84721763,312.0655869,,,,,,,,
